name	type	group	opc_item	writes	reads	description
StartTimeN3	Integer	СилКорпус / Таймеры / Нории / Таймеры старта		MnemoControlN	MnemoControlN	Таймер старта нории
StartTimeN4	Integer	СилКорпус / Таймеры / Нории / Таймеры старта		MnemoControlN	MnemoControlN	Таймер старта нории
StartTimeN5	Integer	СилКорпус / Таймеры / Нории / Таймеры старта		MnemoControlN	MnemoControlN	Таймер старта нории
StartTimeN6	Integer	СилКорпус / Таймеры / Нории / Таймеры старта		MnemoControlN	MnemoControlN	Таймер старта нории
StartTimeN7	Integer	СилКорпус / Таймеры / Нории / Таймеры старта		MnemoControlN	MnemoControlN	Таймер старта нории
StartTimeN8	Integer	СилКорпус / Таймеры / Нории / Таймеры старта		MnemoControlN	MnemoControlN	Таймер старта нории
StartTimeN9	Integer	СилКорпус / Таймеры / Нории / Таймеры старта		MnemoControlN	MnemoControlN	Таймер старта нории
StartTimeT1	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта		MnemoControlT	MnemoControlT	Таймер старта транспортера
StartTimeT10	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта		MnemoControlT	MnemoControlT	Таймер старта транспортера
StartTimeT11	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта		MnemoControlT	MnemoControlT	Таймер старта транспортера
StartTimeT12	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта		MnemoControlT	MnemoControlT	Таймер старта транспортера
StartTimeT13	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта		MnemoControlT	MnemoControlT	Таймер старта транспортера
StartTimeT14	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта		MnemoControlT	MnemoControlT	Таймер старта транспортера
StartTimeT15	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта		MnemoControlT	MnemoControlT	Таймер старта транспортера
StartTimeT16	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта		MnemoControlT	MnemoControlT	Таймер старта транспортера
StartTimeT17	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта		MnemoControlT	MnemoControlT	Таймер старта транспортера
StartTimeT18	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта		MnemoControlT	MnemoControlT	Таймер старта транспортера
StartTimeT19	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта				Таймер старта транспортера
StartTimeT2	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта		MnemoControlT	MnemoControlT	Таймер старта транспортера
StartTimeT20	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта				Таймер старта транспортера
StartTimeT3	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта		MnemoControlT	MnemoControlT	Таймер старта транспортера
StartTimeT4	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта		MnemoControlT	MnemoControlT	Таймер старта транспортера
StartTimeT5	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта		MnemoControlT	MnemoControlT	Таймер старта транспортера
StartTimeT6	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта		MnemoControlT	MnemoControlT	Таймер старта транспортера
StartTimeT7	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта		MnemoControlT	MnemoControlT	Таймер старта транспортера
StartTimeT8	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта		MnemoControlT	MnemoControlT	Таймер старта транспортера
StartTimeT9	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры старта		MnemoControlT	MnemoControlT	Таймер старта транспортера
StatusAlarmN1	Boolean	СилКорпус / Таймеры / Нории / Таймеры аварий		MnemoControlN	MnemoControlN	Служебный статус для контроля аварии нории
StatusAlarmN10	Boolean	СилКорпус / Таймеры / Нории / Таймеры аварий				Служебный статус для контроля аварии нории
StatusAlarmN2	Boolean	СилКорпус / Таймеры / Нории / Таймеры аварий		MnemoControlN	MnemoControlN	Служебный статус для контроля аварии нории
StatusAlarmN3	Boolean	СилКорпус / Таймеры / Нории / Таймеры аварий		MnemoControlN	MnemoControlN	Служебный статус для контроля аварии нории
StatusAlarmN4	Boolean	СилКорпус / Таймеры / Нории / Таймеры аварий		MnemoControlN	MnemoControlN	Служебный статус для контроля аварии нории
StatusAlarmN5	Boolean	СилКорпус / Таймеры / Нории / Таймеры аварий		MnemoControlN	MnemoControlN	Служебный статус для контроля аварии нории
StatusAlarmN6	Boolean	СилКорпус / Таймеры / Нории / Таймеры аварий		MnemoControlN	MnemoControlN	Служебный статус для контроля аварии нории
StatusAlarmN7	Boolean	СилКорпус / Таймеры / Нории / Таймеры аварий		MnemoControlN	MnemoControlN	Служебный статус для контроля аварии нории
StatusAlarmN8	Boolean	СилКорпус / Таймеры / Нории / Таймеры аварий		MnemoControlN	MnemoControlN	Служебный статус для контроля аварии нории
StatusAlarmN9	Boolean	СилКорпус / Таймеры / Нории / Таймеры аварий		MnemoControlN	MnemoControlN	Служебный статус для контроля аварии нории
StatusAlarmT1	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий			MnemoControlT	Служебный статус для контроля аварии транспортера
StatusAlarmT10	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий			MnemoControlT	Служебный статус для контроля аварии транспортера
StatusAlarmT11	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий			MnemoControlT	Служебный статус для контроля аварии транспортера
StatusAlarmT12	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий			MnemoControlT	Служебный статус для контроля аварии транспортера
StatusAlarmT13	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий			MnemoControlT	Служебный статус для контроля аварии транспортера
StatusAlarmT14	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий			MnemoControlT	Служебный статус для контроля аварии транспортера
StatusAlarmT15	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий			MnemoControlT	Служебный статус для контроля аварии транспортера
StatusAlarmT16	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий			MnemoControlT	Служебный статус для контроля аварии транспортера
StatusAlarmT17	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий			MnemoControlT	Служебный статус для контроля аварии транспортера
StatusAlarmT18	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий			MnemoControlT	Служебный статус для контроля аварии транспортера
StatusAlarmT19	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Служебный статус для контроля аварии транспортера
StatusAlarmT2	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий			MnemoControlT	Служебный статус для контроля аварии транспортера
StatusAlarmT20	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Служебный статус для контроля аварии транспортера
StatusAlarmT3	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий			MnemoControlT	Служебный статус для контроля аварии транспортера
StatusAlarmT4	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий			MnemoControlT	Служебный статус для контроля аварии транспортера
StatusAlarmT5	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий			MnemoControlT	Служебный статус для контроля аварии транспортера
StatusAlarmT6	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий			MnemoControlT	Служебный статус для контроля аварии транспортера
StatusAlarmT7	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий			MnemoControlT	Служебный статус для контроля аварии транспортера
StatusAlarmT8	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий			MnemoControlT	Служебный статус для контроля аварии транспортера
StatusAlarmT9	Boolean	СилКорпус / Таймеры / Транспортеры / Таймеры аварий			MnemoControlT	Служебный статус для контроля аварии транспортера
StatusC1	Byte	СилКорпус / Статусы механизмов / Аспирация		MnemoControlC	StartButtonC1_OnClick,StopButtonsControl,TextStatusC1_OnDataChange	Контроль состояния аспирации во время работы
StatusC10	Byte	СилКорпус / Статусы механизмов / Аспирация		MnemoControlC	StartButtonC10_OnClick,StopButtonsControl,TextStatusC10_OnDataChange	Контроль состояния аспирации во время работы
StatusC11	Byte	СилКорпус / Статусы механизмов / Аспирация		MnemoControlC	StartButtonC11_OnClick,StopButtonsControl,TextStatusC11_OnDataChange	Контроль состояния аспирации во время работы
StatusC12	Byte	СилКорпус / Статусы механизмов / Аспирация		MnemoControlC	StartButtonC12_OnClick,StopButtonsControl,TextStatusC12_OnDataChange	Контроль состояния аспирации во время работы
StatusC13	Byte	СилКорпус / Статусы механизмов / Аспирация				Контроль состояния аспирации во время работы
StatusC14	Byte	СилКорпус / Статусы механизмов / Аспирация				Контроль состояния аспирации во время работы
StatusC2	Byte	СилКорпус / Статусы механизмов / Аспирация		MnemoControlC	StartButtonC2_OnClick,StopButtonsControl,TextStatusC2_OnDataChange	Контроль состояния аспирации во время работы
StatusC3	Byte	СилКорпус / Статусы механизмов / Аспирация		MnemoControlC	StartButtonC3_OnClick,StopButtonsControl,TextStatusC3_OnDataChange	Контроль состояния аспирации во время работы
StatusC4	Byte	СилКорпус / Статусы механизмов / Аспирация		MnemoControlC	StartButtonC4_OnClick,StopButtonsControl,TextStatusC4_OnDataChange	Контроль состояния аспирации во время работы
StatusC5	Byte	СилКорпус / Статусы механизмов / Аспирация		MnemoControlC	StartButtonC1a_OnClick,StopButtonsControl,TextStatusC5_OnDataChange	Контроль состояния аспирации во время работы
StatusC6	Byte	СилКорпус / Статусы механизмов / Аспирация		MnemoControlC	StartButtonC2a_OnClick,StopButtonsControl,TextStatusC6_OnDataChange	Контроль состояния аспирации во время работы
StatusC7	Byte	СилКорпус / Статусы механизмов / Аспирация		MnemoControlC	StartButtonC7_OnClick,StopButtonsControl,TextStatusC7_OnDataChange	Контроль состояния аспирации во время работы
StatusC8	Byte	СилКорпус / Статусы механизмов / Аспирация		MnemoControlC	StartButtonC8_OnClick,StopButtonsControl,TextStatusC8_OnDataChange	Контроль состояния аспирации во время работы
StatusC9	Byte	СилКорпус / Статусы механизмов / Аспирация		MnemoControlC	StartButtonC9_OnClick,StopButtonsControl,TextStatusC9_OnDataChange	Контроль состояния аспирации во время работы
StatusN1	Byte	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick,MnemoControlN	StartButtonN1_OnClick,StopButtonsControl,TextStatusN1_OnDataChange	Контроль состояния нории во время работы
StatusN10	Byte	СилКорпус / Статусы механизмов / Нории				Контроль состояния нории во время работы
StatusN2	Byte	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick,MnemoControlN	StartButtonN2_OnClick,StopButtonsControl,TextStatusN2_OnDataChange	Контроль состояния нории во время работы
StatusN3	Byte	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick,MnemoControlN	StartButtonN3_OnClick,StopButtonsControl,TextStatusN3_OnDataChange	Контроль состояния нории во время работы
StatusN4	Byte	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick,MnemoControlN	StartButtonN4_OnClick,StopButtonsControl,TextStatusN4_OnDataChange	Контроль состояния нории во время работы
StatusN5	Byte	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick,MnemoControlN	StartButtonN5_OnClick,StopButtonsControl,TextStatusN5_OnDataChange	Контроль состояния нории во время работы
StatusN6	Byte	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick,MnemoControlN	StartButtonN6_OnClick,StopButtonsControl,TextStatusN6_OnDataChange	Контроль состояния нории во время работы
StatusN7	Byte	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick,MnemoControlN	StartButtonN1a_OnClick,StopButtonsControl,TextStatusN7_OnDataChange	Контроль состояния нории во время работы
StatusN8	Byte	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick,MnemoControlN	StartButtonN2a_OnClick,StopButtonsControl,TextStatusN8_OnDataChange	Контроль состояния нории во время работы
StatusN9	Byte	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick,MnemoControlN	StartButtonN11_OnClick,StopButtonsControl,TextStatusN9_OnDataChange	Контроль состояния нории во время работы
StatusStartC1	Byte	СилКорпус / Статусы механизмов / Аспирация		AlarmStopButton_OnClick,ManualStart,MnemoControlC,StartButtonC1_OnClick,StopButtonC1_OnClick,StopButtonsControl	ManualStart,StartButtonC1_OnClick,StopButtonC1_OnClick	Контроль алгоритма запуска аспирации
StatusStartC10	Byte	СилКорпус / Статусы механизмов / Аспирация		AlarmStopButton_OnClick,ManualStart,MnemoControlC,StartButtonC10_OnClick,StopButtonC10_OnClick,StopButtonsControl	ManualStart,StartButtonC10_OnClick,StopButtonC10_OnClick	Контроль алгоритма запуска аспирации
StatusStartC11	Byte	СилКорпус / Статусы механизмов / Аспирация		AlarmStopButton_OnClick,ManualStart,MnemoControlC,StartButtonC11_OnClick,StopButtonC11_OnClick,StopButtonsControl	ManualStart,StartButtonC11_OnClick,StopButtonC11_OnClick	Контроль алгоритма запуска аспирации
StatusStartC12	Byte	СилКорпус / Статусы механизмов / Аспирация		AlarmStopButton_OnClick,ManualStart,MnemoControlC,StartButtonC12_OnClick,StopButtonC12_OnClick,StopButtonsControl	ManualStart,StartButtonC12_OnClick,StopButtonC12_OnClick	Контроль алгоритма запуска аспирации
StatusStartC13	Byte	СилКорпус / Статусы механизмов / Аспирация				Контроль алгоритма запуска аспирации
StatusStartC14	Byte	СилКорпус / Статусы механизмов / Аспирация				Контроль алгоритма запуска аспирации
StatusStartC2	Byte	СилКорпус / Статусы механизмов / Аспирация		AlarmStopButton_OnClick,ManualStart,MnemoControlC,StartButtonC2_OnClick,StopButtonC2_OnClick,StopButtonsControl	ManualStart,StartButtonC2_OnClick,StopButtonC2_OnClick	Контроль алгоритма запуска аспирации
StatusStartC3	Byte	СилКорпус / Статусы механизмов / Аспирация		AlarmStopButton_OnClick,ManualStart,MnemoControlC,StartButtonC3_OnClick,StopButtonC3_OnClick,StopButtonsControl	ManualStart,StartButtonC3_OnClick,StopButtonC3_OnClick	Контроль алгоритма запуска аспирации
StatusStartC4	Byte	СилКорпус / Статусы механизмов / Аспирация		AlarmStopButton_OnClick,ManualStart,MnemoControlC,StartButtonC4_OnClick,StopButtonC4_OnClick,StopButtonsControl	ManualStart,StartButtonC4_OnClick,StopButtonC4_OnClick	Контроль алгоритма запуска аспирации
StatusStartC5	Byte	СилКорпус / Статусы механизмов / Аспирация		AlarmStopButton_OnClick,ManualStart,MnemoControlC,StartButtonC1a_OnClick,StopButtonC1a_OnClick,StopButtonsControl	ManualStart,StartButtonC1a_OnClick,StopButtonC1a_OnClick	Контроль алгоритма запуска аспирации
StatusStartC6	Byte	СилКорпус / Статусы механизмов / Аспирация		AlarmStopButton_OnClick,ManualStart,MnemoControlC,StartButtonC2a_OnClick,StopButtonC2a_OnClick,StopButtonsControl	ManualStart,StartButtonC2a_OnClick,StopButtonC2a_OnClick	Контроль алгоритма запуска аспирации
StatusStartC7	Byte	СилКорпус / Статусы механизмов / Аспирация		AlarmStopButton_OnClick,ManualStart,MnemoControlC,StartButtonC7_OnClick,StopButtonC7_OnClick,StopButtonsControl	ManualStart,StartButtonC7_OnClick,StopButtonC7_OnClick	Контроль алгоритма запуска аспирации
StatusStartC8	Byte	СилКорпус / Статусы механизмов / Аспирация		AlarmStopButton_OnClick,ManualStart,MnemoControlC,StartButtonC8_OnClick,StopButtonC8_OnClick,StopButtonsControl	ManualStart,StartButtonC8_OnClick,StopButtonC8_OnClick	Контроль алгоритма запуска аспирации
StatusStartC9	Byte	СилКорпус / Статусы механизмов / Аспирация		AlarmStopButton_OnClick,ManualStart,MnemoControlC,StartButtonC9_OnClick,StopButtonC9_OnClick,StopButtonsControl	ManualStart,StartButtonC9_OnClick,StopButtonC9_OnClick	Контроль алгоритма запуска аспирации
StatusStartForwardT1	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlT,StartForwardButtonT1_OnClick,StopButtonT1_OnClick,StopButtonsControl	ManualStart,StartReversButtonT1_OnClick,StopButtonT1_OnClick	Контроль алгоритма запуска транспортера
StatusStartForwardT10	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlT,StartForwardButtonT10_OnClick,StopButtonT10_OnClick,StopButtonsControl	ManualStart,StartReversButtonT10_OnClick,StopButtonT10_OnClick	Контроль алгоритма запуска транспортера
StatusStartForwardT11	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlT,StartForwardButtonT11_OnClick,StopButtonT11_OnClick,StopButtonsControl	ManualStart,StartReversButtonT11_OnClick,StopButtonT11_OnClick	Контроль алгоритма запуска транспортера
StatusStartForwardT12	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlT,StartForwardButtonT8a_OnClick,StopButtonT8a_OnClick,StopButtonsControl	ManualStart,StartReversButtonT8a_OnClick,StopButtonT8a_OnClick	Контроль алгоритма запуска транспортера
StatusStartForwardT13	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlT,StartForwardButtonT17_OnClick,StopButtonT17_OnClick,StopButtonsControl	ManualStart,StartReversButtonT17_OnClick,StopButtonT17_OnClick	Контроль алгоритма запуска транспортера
StatusStartForwardT14	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlT,StartForwardButtonT9a_OnClick,StopButtonT9a_OnClick,StopButtonsControl	ManualStart,StartReversButtonT9a_OnClick,StopButtonT9a_OnClick	Контроль алгоритма запуска транспортера
StatusStartForwardT15	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlT,StartForwardButtonT17a_OnClick,StopButtonT17a_OnClick,StopButtonsControl	ManualStart,StartReversButtonT17a_OnClick,StopButtonT17a_OnClick	Контроль алгоритма запуска транспортера
StatusStartForwardT16	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlT,StartForwardButtonT25_OnClick,StopButtonT25_OnClick,StopButtonsControl	ManualStart,StartReversButtonT25_OnClick,StopButtonT25_OnClick	Контроль алгоритма запуска транспортера
StatusStartForwardT17	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlT,StartForwardButtonT24_OnClick,StopButtonT24_OnClick,StopButtonsControl	ManualStart,StartReversButtonT24_OnClick,StopButtonT24_OnClick	Контроль алгоритма запуска транспортера
StatusStartForwardT18	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlT,StartForwardButtonT22_OnClick,StopButtonT22_OnClick,StopButtonsControl	ManualStart,StartReversButtonT22_OnClick,StopButtonT22_OnClick	Контроль алгоритма запуска транспортера
StatusStartForwardT19	Byte	СилКорпус / Статусы механизмов / Транспортеры				Контроль алгоритма запуска транспортера
StatusStartForwardT2	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlT,StartForwardButtonT2_OnClick,StopButtonT2_OnClick,StopButtonsControl	ManualStart,StartReversButtonT2_OnClick,StopButtonT2_OnClick	Контроль алгоритма запуска транспортера
StatusStartForwardT20	Byte	СилКорпус / Статусы механизмов / Транспортеры				Контроль алгоритма запуска транспортера
StatusStartForwardT3	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlT,StartForwardButtonT3_OnClick,StopButtonT3_OnClick,StopButtonsControl	ManualStart,StartReversButtonT3_OnClick,StopButtonT3_OnClick	Контроль алгоритма запуска транспортера
StatusStartForwardT4	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlT,StartForwardButtonT4_OnClick,StopButtonT4_OnClick,StopButtonsControl	ManualStart,StartReversButtonT4_OnClick,StopButtonT4_OnClick	Контроль алгоритма запуска транспортера
StatusStartForwardT5	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlT,StartForwardButtonT5_OnClick,StopButtonT5_OnClick,StopButtonsControl	ManualStart,StartReversButtonT5_OnClick,StopButtonT5_OnClick	Контроль алгоритма запуска транспортера
StatusStartForwardT6	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlT,StartForwardButtonT6_OnClick,StopButtonT6_OnClick,StopButtonsControl	ManualStart,StartReversButtonT6_OnClick,StopButtonT6_OnClick	Контроль алгоритма запуска транспортера
StatusStartForwardT7	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlT,StartForwardButtonT7_OnClick,StopButtonT7_OnClick,StopButtonsControl	ManualStart,StartReversButtonT7_OnClick,StopButtonT7_OnClick	Контроль алгоритма запуска транспортера
StatusStartForwardT8	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlT,StartForwardButtonT8_OnClick,StopButtonT8_OnClick,StopButtonsControl	ManualStart,StartReversButtonT8_OnClick,StopButtonT8_OnClick	Контроль алгоритма запуска транспортера
StatusStartForwardT9	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlT,StartForwardButtonT9_OnClick,StopButtonT9_OnClick,StopButtonsControl	ManualStart,StartReversButtonT9_OnClick,StopButtonT9_OnClick	Контроль алгоритма запуска транспортера
StatusStartN1	Byte	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlN,StartButtonN1_OnClick,StopButtonN1_OnClick,StopButtonsControl	ManualStart,StartButtonN1_OnClick,StopButtonN1_OnClick	Контроль алгоритма запуска нории
StatusStartN10	Byte	СилКорпус / Статусы механизмов / Нории				Контроль алгоритма запуска нории
StatusStartN2	Byte	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlN,StartButtonN2_OnClick,StopButtonN2_OnClick,StopButtonsControl	ManualStart,StartButtonN2_OnClick,StopButtonN2_OnClick	Контроль алгоритма запуска нории
StatusStartN3	Byte	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlN,StartButtonN3_OnClick,StopButtonN3_OnClick,StopButtonsControl	ManualStart,StartButtonN3_OnClick,StopButtonN3_OnClick	Контроль алгоритма запуска нории
StatusStartN4	Byte	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlN,StartButtonN4_OnClick,StopButtonN4_OnClick,StopButtonsControl	ManualStart,StartButtonN4_OnClick,StopButtonN4_OnClick	Контроль алгоритма запуска нории
StatusStartN5	Byte	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlN,StartButtonN5_OnClick,StopButtonN5_OnClick,StopButtonsControl	ManualStart,StartButtonN5_OnClick,StopButtonN5_OnClick	Контроль алгоритма запуска нории
StatusStartN6	Byte	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlN,StartButtonN6_OnClick,StopButtonN6_OnClick,StopButtonsControl	ManualStart,StartButtonN6_OnClick,StopButtonN6_OnClick	Контроль алгоритма запуска нории
StatusStartN7	Byte	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlN,StartButtonN1a_OnClick,StopButtonN1a_OnClick,StopButtonsControl	ManualStart,StartButtonN1a_OnClick,StopButtonN1a_OnClick	Контроль алгоритма запуска нории
StatusStartN8	Byte	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlN,StartButtonN2a_OnClick,StopButtonN2a_OnClick,StopButtonsControl	ManualStart,StartButtonN2a_OnClick,StopButtonN2a_OnClick	Контроль алгоритма запуска нории
StatusStartN9	Byte	СилКорпус / Статусы механизмов / Нории		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,MnemoControlN,StartButtonN11_OnClick,StopButtonN11_OnClick,StopButtonsControl	ManualStart,StartButtonN11_OnClick,StopButtonN11_OnClick	Контроль алгоритма запуска нории
StatusStartReversT1	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,StartReversButtonT1_OnClick,StopButtonT1_OnClick,StopButtonsControl	ManualStart,StartForwardButtonT1_OnClick,StopButtonT1_OnClick	Контроль алгоритма запуска транспортера
StatusStartReversT10	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,StartReversButtonT10_OnClick,StopButtonT10_OnClick,StopButtonsControl	ManualStart,StartForwardButtonT10_OnClick,StopButtonT10_OnClick	Контроль алгоритма запуска транспортера
StatusStartReversT11	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,StartReversButtonT11_OnClick,StopButtonT11_OnClick,StopButtonsControl	ManualStart,StartForwardButtonT11_OnClick,StopButtonT11_OnClick	Контроль алгоритма запуска транспортера
StatusStartReversT12	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,StartReversButtonT8a_OnClick,StopButtonT8a_OnClick,StopButtonsControl	ManualStart,StartForwardButtonT8a_OnClick,StopButtonT8a_OnClick	Контроль алгоритма запуска транспортера
StatusStartReversT13	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,StartReversButtonT17_OnClick,StopButtonT17_OnClick,StopButtonsControl	ManualStart,StartForwardButtonT17_OnClick,StopButtonT17_OnClick	Контроль алгоритма запуска транспортера
StatusStartReversT14	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,StartReversButtonT9a_OnClick,StopButtonT9a_OnClick,StopButtonsControl	ManualStart,StartForwardButtonT9a_OnClick,StopButtonT9a_OnClick	Контроль алгоритма запуска транспортера
StatusStartReversT15	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,StartReversButtonT17a_OnClick,StopButtonT17a_OnClick,StopButtonsControl	ManualStart,StartForwardButtonT17a_OnClick,StopButtonT17a_OnClick	Контроль алгоритма запуска транспортера
StatusStartReversT16	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,StartReversButtonT25_OnClick,StopButtonT25_OnClick,StopButtonsControl	ManualStart,StartForwardButtonT25_OnClick,StopButtonT25_OnClick	Контроль алгоритма запуска транспортера
StatusStartReversT17	Byte	СилКорпус / Статусы механизмов / Транспортеры		AlarmDropButton_OnClick,AlarmStopButton_OnClick,ManualStart,StartReversButtonT24_OnClick,StopButtonT24_OnClick,StopButtonsControl	ManualStart,StartForwardButtonT24_OnClick,StopButtonT24_OnClick	Контроль алгоритма запуска транспортера
