name	type	group	opc_item	writes	reads	description
AlarmTimeT14	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT15	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT16	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT17	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT18	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT19	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT2	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT20	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT3	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT4	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT5	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT6	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT7	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT8	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
AlarmTimeT9	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры аварий				Таймер аварии транспортера
BlockControl	Boolean	СилКорпус / Служебные переменные		BlockControlButton_OnClick	BlockControlButton_OnClick,BlockControlMnemo	
CalculateCount	Double	СилКорпус / Переменные весового терминала		CalculateLocalCounter	CalculateLocalCounter	
Capacity	Double	СилКорпус / Переменные весового терминала		Prod,StartVesIndicators	ErrorCapacitControl	
ClearLocalCounter	Boolean	СилКорпус / Переменные весового терминала			ClearLocalCounterButton_OnClick	
Count	Double	СилКорпус / Переменные весового терминала		Prod	Prod	
L1_D1_C_C	Double	СилКорпус / Переменные весового терминала	L1_D1_C_C		Prod	
L1_D1_C_E	Double	СилКорпус / Переменные весового терминала	L1_D1_C_E		CalculateLocalCounter	
L1_D1_C_P	Double	СилКорпус / Переменные весового терминала	L1_D1_C_P			
L1_D1_C_d	Double	СилКорпус / Переменные весового терминала	L1_D1_C_d			
L1_D1_C_n	Double	СилКорпус / Переменные весового терминала	L1_D1_C_n			
L1_D1_C_t	Double	СилКорпус / Переменные весового терминала	L1_D1_C_t			
L1_D1_Cmd	Word	СилКорпус / Переменные весового терминала	L1_D1_Cmd	VesInWork_OnClick,VesRead_OnClick,VesStopCircle_OnClick,VesThrue_OnClick,VesWrite_OnClick		
L1_D1_D_In1	Word	СилКорпус / Переменные весового терминала	L1_D1_D_In1			
L1_D1_D_In2	Word	СилКорпус / Переменные весового терминала	L1_D1_D_In2			
L1_D1_D_Out1	Single	СилКорпус / Переменные весового терминала	L1_D1_D_Out1			
L1_D1_D_Out2	Single	СилКорпус / Переменные весового терминала	L1_D1_D_Out2			
L1_D1_Par_Capacity	Double	СилКорпус / Переменные весового терминала	L1_D1_Par_Capacity			
L1_D1_Par_OSigma	Double	СилКорпус / Переменные весового терминала	L1_D1_Par_OSigma			
L1_D1_Par_TDampers	Single	СилКорпус / Переменные весового терминала	L1_D1_Par_TDampers			
L1_D1_Par_TDel	Double	СилКорпус / Переменные весового терминала	L1_D1_Par_TDel			
L1_D1_Par_TankageLadel	Double	СилКорпус / Переменные весового терминала	L1_D1_Par_TankageLadel			
L1_D1_Par_WLadel	Double	СилКорпус / Переменные весового терминала	L1_D1_Par_WLadel			
L1_D1_S_Dose	Word	СилКорпус / Переменные весового терминала	L1_D1_S_Dose			
L1_D1_S_Error	Word	СилКорпус / Переменные весового терминала	L1_D1_S_Error	VesErrorOff_OnClick	Indicators,StartVesIndicators	
