SysCurrentTime	Текущее время
T4LatchStatus1	Статус заслонки транспортера
T4LatchStatus2	Статус заслонки транспортера
T4LatchStatus3	Статус заслонки транспортера
T4LatchStatus4	Статус заслонки транспортера
T4LatchStatus5	Статус заслонки транспортера
T4LatchStatus6	Статус заслонки транспортера
T4LatchStatus7	Статус заслонки транспортера
T4LatchStatus8	Статус заслонки транспортера
T4LatchStatus9	Статус заслонки транспортера
T4LatchStatus10	Статус заслонки транспортера
T4LatchStatusByte1	
T4LatchStatusByte2	
T4LatchStatusByte3	
T4LatchStatusByte4	
T4LatchStatusByte5	
T4LatchStatusByte6	
T4LatchStatusByte7	
T4LatchStatusByte8	
T4LatchStatusByte9	
T4LatchStatusByte10	
T4ClapLatchStatus1	Статус заслонки транспортера
T4ClapLatchStatus2	Статус заслонки транспортера
T4ClapLatchStatus3	Статус заслонки транспортера
T4ClapLatchStatus4	Статус заслонки транспортера
T4ClapLatchStatus5	Статус заслонки транспортера
T4ClapLatchStatus6	Статус заслонки транспортера
T4ClapLatchStatus7	Статус заслонки транспортера
T4ClapLatchStatus8	Статус заслонки транспортера
T4ClapLatchStatus9	Статус заслонки транспортера
T4ClapLatchStatus10	Статус заслонки транспортера
T4ClapLatchStatusByte1	
T4ClapLatchStatusByte2	
T4ClapLatchStatusByte3	
T4ClapLatchStatusByte4	
T4ClapLatchStatusByte5	
T4ClapLatchStatusByte6	
T4ClapLatchStatusByte7	
T4ClapLatchStatusByte8	
T4ClapLatchStatusByte9	
T4ClapLatchStatusByte10	Заслонки транспортера номер 5
T5LatchStatus1	Статус заслонки транспортера
T5LatchStatus2	Статус заслонки транспортера
T5LatchStatus3	Статус заслонки транспортера
T5LatchStatus4	Статус заслонки транспортера
T5LatchStatus5	Статус заслонки транспортера
T5LatchStatus6	Статус заслонки транспортера
T5LatchStatus7	Статус заслонки транспортера
T5LatchStatus8	Статус заслонки транспортера
T5LatchStatusByte1	
T5LatchStatusByte2	
T5LatchStatusByte3	
T5LatchStatusByte4	
T5LatchStatusByte5	
T5LatchStatusByte6	
T5LatchStatusByte7	
T5LatchStatusByte8	
T5ClapLatchStatus1	Статус заслонки транспортера
T5ClapLatchStatus2	Статус заслонки транспортера
T5ClapLatchStatus3	Статус заслонки транспортера
T5ClapLatchStatus4	Статус заслонки транспортера
T5ClapLatchStatus5	Статус заслонки транспортера
T5ClapLatchStatus6	Статус заслонки транспортера
T5ClapLatchStatus7	Статус заслонки транспортера
T5ClapLatchStatus8	Статус заслонки транспортера
T5ClapLatchStatusByte1	
T5ClapLatchStatusByte2	
T5ClapLatchStatusByte3	
T5ClapLatchStatusByte4	
T5ClapLatchStatusByte5	
T5ClapLatchStatusByte6	
T5ClapLatchStatusByte7	
T5ClapLatchStatusByte8	Заслонки транспортера номер 1-3
T1LatchStatus1	Статус заслонки транспортера
T1LatchStatus2	Статус заслонки транспортера
T1LatchStatus3	Статус заслонки транспортера
T1LatchStatus4	Статус заслонки транспортера
T1LatchStatus5	Статус заслонки транспортера
T1LatchStatus6	Статус заслонки транспортера
T1LatchStatus7	Статус заслонки транспортера
T1LatchStatus8	Статус заслонки транспортера
T1LatchStatusByte1	
T1LatchStatusByte2	
T1LatchStatusByte3	
T1LatchStatusByte4	
T1LatchStatusByte5	
T1LatchStatusByte6	
T1LatchStatusByte7	
T1LatchStatusByte8	
T1LatchStatus9	Статус заслонки транспортера
T1LatchStatusByte9	Выходные переменные
RelayOutN1	Выходное реле управления нории
RelayOutN2	Выходное реле управления нории
RelayOutN3	Выходное реле управления нории
RelayOutN4	Выходное реле управления нории
RelayOutN5	Выходное реле управления нории
RelayOutN6	Выходное реле управления нории
RelayOutN7	Выходное реле управления нории
RelayOutN8	Выходное реле управления нории
RelayOutN9	Выходное реле управления нории
RelayOutN10	Выходное реле управления нории
RelayOutC1	Выходное реле управления аспирации
RelayOutC2	Выходное реле управления аспирации
RelayOutC3	Выходное реле управления аспирации
RelayOutC4	Выходное реле управления аспирации
RelayOutC5	Выходное реле управления аспирации
RelayOutC6	Выходное реле управления аспирации
RelayOutC7	Выходное реле управления аспирации
RelayOutC8	Выходное реле управления аспирации
RelayOutC9	Выходное реле управления аспирации
RelayOutC10	Выходное реле управления аспирации
RelayOutC11	Выходное реле управления аспирации
RelayOutC12	Выходное реле управления аспирации
RelayOutC13	Выходное реле управления аспирации
RelayOutC14	Выходное реле управления аспирации
RelayOutForwardT1	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT2	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT3	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT4	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT5	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT6	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT7	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT8	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT9	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT10	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT11	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT12	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT13	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT14	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT15	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT16	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT17	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT18	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT19	Выходное реле управления транспортера в прямом направлении
RelayOutForwardT20	Выходное реле управления транспортера в прямом направлении
RelayOutReversT1	Выходное реле управления транспортера в обратном направлении
RelayOutReversT2	Выходное реле управления транспортера в обратном направлении
RelayOutReversT3	Выходное реле управления транспортера в обратном направлении
RelayOutReversT4	Выходное реле управления транспортера в обратном направлении
RelayOutReversT5	Выходное реле управления транспортера в обратном направлении
RelayOutReversT6	Выходное реле управления транспортера в обратном направлении
RelayOutReversT7	Выходное реле управления транспортера в обратном направлении
RelayOutReversT8	Выходное реле управления транспортера в обратном направлении
RelayOutReversT9	Выходное реле управления транспортера в обратном направлении
RelayOutReversT10	Выходное реле управления транспортера в обратном направлении
RelayOutReversT11	Выходное реле управления транспортера в обратном направлении
RelayOutReversT12	Выходное реле управления транспортера в обратном направлении
RelayOutReversT13	Выходное реле управления транспортера в обратном направлении
RelayOutReversT14	Выходное реле управления транспортера в обратном направлении
RelayOutReversT15	Выходное реле управления транспортера в обратном направлении
RelayOutReversT16	Выходное реле управления транспортера в обратном направлении
RelayOutReversT17	Выходное реле управления транспортера в обратном направлении
RelayOutReversT18	Выходное реле управления транспортера в обратном направлении
RelayOutReversT19	Выходное реле управления транспортера в обратном направлении
RelayOutReversT20	Выходное реле управления транспортера в обратном направлении
T6LatchSelect1	Выходное реле выбора заслонки для управления
T6LatchSelect2	Выходное реле выбора заслонки для управления
T6LatchSelect3	Выходное реле выбора заслонки для управления
T6LatchSelect4	Выходное реле выбора заслонки для управления
T6LatchSelect5	Выходное реле выбора заслонки для управления
T6LatchSelect6	Выходное реле выбора заслонки для управления
T6LatchSelect7	Выходное реле выбора заслонки для управления
T6LatchSelect8	Выходное реле выбора заслонки для управления
T6LatchSelect9	Выходное реле выбора заслонки для управления
T6LatchSelect10	Выходное реле выбора заслонки для управления
T6LatchRunOpen	Выходное реле для открытия выбранной заслонки
T6LatchRunClose	Выходное реле для закрытия выбранной заслонки
T7LatchRunOpen	Выходное реле для открытия выбранной заслонки
T7LatchRunClose	Выходное реле для закрытия выбранной заслонки
T7LatchSelect1	Выходное реле выбора заслонки для управления
T7LatchSelect2	Выходное реле выбора заслонки для управления
T7LatchSelect3	Выходное реле выбора заслонки для управления
T7LatchSelect4	Выходное реле выбора заслонки для управления
